Run,TestName,query,user,privileges,expected
yes,1_Entitlement_Rihanna_exact_user_ellaadmin,Rihanna;exact,user;ellaadmin,"privacycontext:mediaspace,enableentitlement",0_tbnqzkl2
yes,2_Entitlement_stamation_exact_user_ellaadmin,stamation;exact,user;ellaadmin,"privacycontext:mediaspace,enableentitlement",0_tbnqzkl2;0_fjrf12z7;0_64xnakg0;0_vq4p7x1f;0_5hrg9ruv
yes,3_Entitlement_stamation_exact_user_renanadmin,stamation;exact,user;renanadmin,"privacycontext:mediaspace,enableentitlement",0_355h6sz8;0_vq4p7x1f;0_5hrg9ruv
yes,4_Entitlement_stamation_partial_user_testrenan,stamation;partial,user;testrenan,"privacycontext:mediaspace,enableentitlement",0_i0ppxirg;0_g91c7iwi;0_vq4p7x1f;0_5hrg9ruv
yes,5_Entitlement_0_tbnqzkl2_exact_user_ellaadmin,0_tbnqzkl2;exact,user;ellaadmin,"privacycontext:mediaspace,enableentitlement",0_tbnqzkl2
yes,6_Entitlement_the_start_admin_ella.lidich@kaltura.com,the;start,admin;ella.lidich@kaltura.com,"*,disableentitlement",0_tiyhwnts;0_2domckbs
yes,7_Entitlement_And_partial_admin_ella.lidich@kaltura.com,And;partial,admin;ella.lidich@kaltura.com,"*,disableentitlement",0_i0ppxirg;0_vq4p7x1f;0_xrw9j7iz
yes,8_Entitlement_And_partial_admin_renan_manager,And;partial,admin;renan_manager,"*,disableentitlement",0_i0ppxirg;0_vq4p7x1f;0_xrw9j7iz
yes,9_Entitlement_0_3bb5fhb6_exact_user_ellatest,0_3bb5fhb6;exact,user;ellatest,"privacycontext:mediaspace,enableentitlement",0_3bb5fhb6
yes,10_Entitlement_0_3bb5fhb6_exact_user_renanadmin,0_3bb5fhb6;exact,user;renanadmin,"privacycontext:mediaspace,enableentitlement",0_3bb5fhb6
yes,11_Entitlement_0_3bb5fhb6_exact_admin_renan_manager,0_3bb5fhb6;exact,admin;renan_manager,"*,disableentitlement",0_3bb5fhb6
yes,12_Entitlement_0_3bb5fhb6_exact_admin_ella.lidich@kaltura.com,0_3bb5fhb6;exact,admin;ella.lidich@kaltura.com,"*,disableentitlement",0_3bb5fhb6
yes,13_Entitlement_0_3bb5fhb6_exact_user_testrenan,0_3bb5fhb6;exact,user;testrenan,"privacycontext:mediaspace,enableentitlement",0_3bb5fhb6
yes,14_Entitlement_0_mdjq9piy_exact_user_testrenan,0_mdjq9piy;exact,user;testrenan,"privacycontext:mediaspace,enableentitlement",0_mdjq9piy
yes,15_Entitlement_0_ukx5xdqx_exact_admin_ella.lidich@kaltura.com,0_ukx5xdqx;exact,admin;ella.lidich@kaltura.com,"*,disableentitlement",0_ukx5xdqx
yes,16_Entitlement_0_ukx5xdqx_exact_admin_renan_manager,0_ukx5xdqx;exact,admin;renan_manager,"*,disableentitlement",0_ukx5xdqx
yes,17_Entitlement_0_oyrw9tjj_exact_admin_ella_designer,0_oyrw9tjj;exact,admin;ella_designer,,0_oyrw9tjj
yes,18_Entitlement_0_tbnqzkl2_exact_user_ellatest,0_tbnqzkl2;exact,user;ellatest,,0_tbnqzkl2
